Node ID,Article Type,Article Title,Article Url,Body Format,Migrating target?,Current Link,Correct Link
29,whitepaper,Hybrid Hosting: Evolving the Cloud in 2011,http://rackspace.com/knowledge_center/whitepaper/hybrid-hosting-evolving-the-cloud-in-2011,tinymce,Yes,http://www.rackspace.com/knowledge_center/major_league_gaming_rackspace_casestudy,http://www.rackspace.com/knowledge_center/case-study/rackspace-gives-major-league-gaming-mlg-the-power-of-scale
41,whitepaper,Unlocking the Enterprise Cloud,http://rackspace.com/knowledge_center/whitepaper/unlocking-the-enterprise-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/consideration-for-the-cloud-the-process-every-enterprise-should-think-through,http://www.rackspace.com/knowledge_center/whitepaper/consideration-for-the-cloud-the-process-every-enterprise-should-think-through
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it-matters,http://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it-matters,http://www.rackspace.com/knowledge_center/whitepaper/revolution-not-evolution-how-cloud-computing-differs-from-traditional-it-and-why-it
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas,http://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas
46,whitepaper,"Small Teams, Big Impact: Powering Revolutionary Ideas on the Cloud",http://rackspace.com/knowledge_center/whitepaper/small-teams-big-impact-powering-revolutionary-ideas-on-the-cloud,tinymce,Yes,http://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas,http://www.rackspace.com/knowledge_center/whitepaper/understanding-the-cloud-computing-stack-saas-paas-iaas
48,whitepaper,How The Cloud Accelerates Innovation,http://rackspace.com/knowledge_center/whitepaper/how-the-cloud-accelerates-innovation,tinymce,Yes,http://www.rackspace.com/knowledge_center/agencynet_rackspace_casestudy,http://www.rackspace.com/knowledge_center/case-study/rackspace-keeps-nickelodeons-kids-choice-awards-virtual-slime-flowing
48,whitepaper,How The Cloud Accelerates Innovation,http://rackspace.com/knowledge_center/whitepaper/how-the-cloud-accelerates-innovation,tinymce,Yes,http://www.rackspace.com/knowledge_center/agencynet_rackspace_casestudy,http://www.rackspace.com/knowledge_center/case-study/rackspace-keeps-nickelodeons-kids-choice-awards-virtual-slime-flowing
51,whitepaper,The Real Costs of “Free” Email Services For Small Businesses,http://rackspace.com/knowledge_center/whitepaper/the-real-costs-of-“free”-email-services-for-small-businesses,tinymce,Yes,http://www.google.com/url?q=http://www.rackspace.com/knowledge_center/karmacrm&amp;sa=U&amp;ei=sGmpT5XyIZKm8QTavJmWAw&amp;ved=0CAYQFjAB&amp;client=internal-uds-cse&amp;usg=AFQjCNEP0o9RJLE7h__ZvUWI1nMgaZn5sw,http://www.google.com/url?q=http://www.rackspace.com/knowledge_center/karmacrm&amp;sa=U&amp;ei=sGmpT5XyIZKm8QTavJmWAw&amp;ved=0CAYQFjAB&amp;client=internal-uds-cse&amp;usg=AFQjCNEP0o9RJLE7h__ZvUWI1nMgaZn5sw
58,article,Rackspace Cloud Sites Essentials - MySQL Databases,http://rackspace.com/knowledge_center/article/rackspace-cloud-sites-essentials-4-mysql-databases,tinymce,Yes,http://www.rackspace.com/knowledge_center/index.php/How_do_I_modify_the_number_of_databases_my_site_can_have,http://www.rackspace.com/knowledge_center/product-page/cloud-sites
64,article,Create a reverse DNS record,http://rackspace.com/knowledge_center/article/rackspace-cloud-essentials-6-creating-a-reverse-dns-record,tinymce,No,http://www.rackspace.com/knowledge_center/index.php/DNS_-_Introduction_to_dig,http://www.rackspace.com/knowledge_center/article/rackspace-cloud-essentials-using-dig-for-dns-verification-and-troubleshooting
68,article,Connecting to Linux from Windows by using PuTTY,http://rackspace.com/knowledge_center/article/rackspace-cloud-essentials-3-going-from-windows-to-linux-using-putty,tinymce,Yes,http://www.rackspace.com/knowledge_center/guide_2,http://www.rackspace.com/knowledge_center/article/rackspace-cloud-essentials-guide-building-your-cloud-inventory
68,article,Connecting to Linux from Windows by using PuTTY,http://rackspace.com/knowledge_center/article/rackspace-cloud-essentials-3-going-from-windows-to-linux-using-putty,tinymce,Yes,http://www.rackspace.com/knowledge_center/article/using-onmetal-cloud-servers#uploadKey,http://www.rackspace.com/knowledge_center/article/create-onmetal-cloud-servers
68,article,Connecting to Linux from Windows by using PuTTY,http://rackspace.com/knowledge_center/article/rackspace-cloud-essentials-3-going-from-windows-to-linux-using-putty,tinymce,Yes,http://www.rackspace.com/knowledge_center/article/using-onmetal-cloud-servers,http://www.rackspace.com/knowledge_center/article/create-onmetal-cloud-servers
